id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_133_21_8_MARS_MARS_0_nohp,reg,0,133,21,8,MARS,MARS,0,nohp,0.02376699447631836,True,0.8804546153849055,0.8423181352281527
reg_0_133_21_8_GBDT_XGBoost_0_nohp,reg,0,133,21,8,GBDT,XGBoost,0,nohp,0.03746366500854492,True,0.9409517858596401,0.9999879997461043
reg_0_133_21_8_GBDT_LGBM_0_nohp,reg,0,133,21,8,GBDT,LGBM,0,nohp,0.008197784423828125,True,0.8985905946108386,0.8763209383686453
reg_0_133_21_8_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,8,mlrnet,mlrnetfast,0,nohp,0.9973382949829102,True,0.934865485736061,0.9424313030427662
reg_0_133_21_8_NN_regularnetfast_0_nohp,reg,0,133,21,8,NN,regularnetfast,0,nohp,0.9183220863342285,True,0.9108795393641304,0.9684578806594041
reg_0_133_21_9_Baseline_Intercept_0_nohp,reg,0,133,21,9,Baseline,Intercept,0,nohp,0.0005819797515869141,True,-0.03993445069889101,0.0
reg_0_133_21_9_GLM_Ridge_0_nohp,reg,0,133,21,9,GLM,Ridge,0,nohp,0.0013191699981689453,True,0.8994622561642845,0.8369545659044875
reg_0_133_21_9_GLM_Lasso_0_nohp,reg,0,133,21,9,GLM,Lasso,0,nohp,0.04210233688354492,True,0.8898373310526477,0.8349153114700667
reg_0_133_21_9_GLM_Enet_0_nohp,reg,0,133,21,9,GLM,Enet,0,nohp,0.0440216064453125,True,0.8875406160199658,0.8345285409585058
reg_0_133_21_9_TREE_CART_0_nohp,reg,0,133,21,9,TREE,CART,0,nohp,0.0013544559478759766,True,0.8926107170606566,1.0
reg_0_133_21_9_RF_XRF_0_nohp,reg,0,133,21,9,RF,XRF,0,nohp,0.08809995651245117,True,0.911046787190356,1.0
reg_0_133_21_9_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,9,GBDT,xgb_sklearn,0,nohp,0.02758932113647461,True,0.926480591615565,0.9740454587707684
reg_0_133_21_9_SVM_Kernel_0_nohp,reg,0,133,21,9,SVM,Kernel,0,nohp,0.0014405250549316406,True,0.899522341337322,0.836937145357113
reg_0_133_21_9_SVM_NuSVM_0_nohp,reg,0,133,21,9,SVM,NuSVM,0,nohp,0.0038733482360839844,True,0.8861636776953856,0.9501885733864456
reg_0_133_21_9_NN_MLP_sklearn_0_nohp,reg,0,133,21,9,NN,MLP_sklearn,0,nohp,0.11748433113098145,True,0.9113057445577906,0.9822400731816613
reg_0_133_21_9_RF_RF_0_nohp,reg,0,133,21,9,RF,RF,0,nohp,0.11104941368103027,True,0.9238512460694756,0.9796720997570969
reg_0_133_21_9_MARS_MARS_0_nohp,reg,0,133,21,9,MARS,MARS,0,nohp,0.02525162696838379,True,0.8943458928557204,0.830862759384256
reg_0_133_21_9_GBDT_XGBoost_0_nohp,reg,0,133,21,9,GBDT,XGBoost,0,nohp,0.03835797309875488,True,0.9359038134115649,0.9999716943639683
reg_0_133_21_9_GBDT_LGBM_0_nohp,reg,0,133,21,9,GBDT,LGBM,0,nohp,0.008367776870727539,True,0.8841362515211577,0.8662280462082959
reg_0_133_21_9_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,9,mlrnet,mlrnetfast,0,nohp,1.01621413230896,True,0.8768429587452671,0.9720907455418843
reg_0_133_21_9_NN_regularnetfast_0_nohp,reg,0,133,21,9,NN,regularnetfast,0,nohp,0.9113647937774658,True,0.8958472845536498,0.9770708206598777
reg_1_82_9_0_Baseline_Intercept_0_nohp,reg,1,82,9,0,Baseline,Intercept,0,nohp,0.1670382022857666,True,-0.007373056271924305,0.0
reg_1_82_9_0_GLM_Ridge_0_nohp,reg,1,82,9,0,GLM,Ridge,0,nohp,0.016680479049682617,True,0.8662672889006656,0.9189913097672121
reg_1_82_9_0_GLM_Lasso_0_nohp,reg,1,82,9,0,GLM,Lasso,0,nohp,0.0427699089050293,True,0.8572366950302435,0.9157658328901588
reg_1_82_9_0_GLM_Enet_0_nohp,reg,1,82,9,0,GLM,Enet,0,nohp,0.03915214538574219,True,0.8551175794359083,0.9153296168677013
reg_1_82_9_0_TREE_CART_0_nohp,reg,1,82,9,0,TREE,CART,0,nohp,0.001397848129272461,True,0.8103891274760188,1.0
reg_1_82_9_0_RF_XRF_0_nohp,reg,1,82,9,0,RF,XRF,0,nohp,0.07509922981262207,True,0.8695977075768612,1.0
reg_1_82_9_0_GBDT_xgb_sklearn_0_nohp,reg,1,82,9,0,GBDT,xgb_sklearn,0,nohp,0.030371427536010742,True,0.8850436515180395,0.9983681493769235
reg_1_82_9_0_SVM_Kernel_0_nohp,reg,1,82,9,0,SVM,Kernel,0,nohp,0.012531280517578125,True,0.866390111242078,0.9189878422767952
reg_1_82_9_0_SVM_NuSVM_0_nohp,reg,1,82,9,0,SVM,NuSVM,0,nohp,0.0021920204162597656,True,0.7374877597100082,0.969488165440731
