id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_109_330_3_NN_MLP_sklearn_0_nohp,reg,0,109,330,3,NN,MLP_sklearn,0,nohp,0.10276246070861816,True,-3.1762550819729363,0.9952389415347458
reg_0_109_330_3_RF_RF_0_nohp,reg,0,109,330,3,RF,RF,0,nohp,0.25275349617004395,True,-0.10044535189535186,0.8408372348995331
reg_0_109_330_4_Baseline_Intercept_0_nohp,reg,0,109,330,4,Baseline,Intercept,0,nohp,0.0005168914794921875,True,-0.022798688659470434,0.0
reg_0_109_330_4_GLM_Ridge_0_nohp,reg,0,109,330,4,GLM,Ridge,0,nohp,0.002232789993286133,True,-0.24384361191356585,0.8664971412884698
reg_0_109_330_4_GLM_Lasso_0_nohp,reg,0,109,330,4,GLM,Lasso,0,nohp,3.635652780532837,True,0.022887513660056258,0.20275155116415844
reg_0_109_330_4_GLM_Enet_0_nohp,reg,0,109,330,4,GLM,Enet,0,nohp,2.678635358810425,True,0.021044935798097297,0.2137006600767134
reg_0_109_330_4_TREE_CART_0_nohp,reg,0,109,330,4,TREE,CART,0,nohp,0.004526615142822266,True,-1.0192175685636036,1.0
reg_0_109_330_4_RF_XRF_0_nohp,reg,0,109,330,4,RF,XRF,0,nohp,0.290724515914917,True,-0.8292537892746006,1.0
reg_0_109_330_4_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,4,GBDT,xgb_sklearn,0,nohp,0.08734655380249023,True,0.2024019118253092,0.9208216519709551
reg_0_109_330_4_SVM_Kernel_0_nohp,reg,0,109,330,4,SVM,Kernel,0,nohp,0.0016169548034667969,True,-1.9764359317341542,0.9541456485763471
reg_0_109_330_4_SVM_NuSVM_0_nohp,reg,0,109,330,4,SVM,NuSVM,0,nohp,0.00887441635131836,True,0.186700365771737,0.5179136172648233
reg_0_109_330_4_NN_MLP_sklearn_0_nohp,reg,0,109,330,4,NN,MLP_sklearn,0,nohp,0.07628297805786133,True,-0.05850105181954457,0.9994130064460711
reg_0_109_330_4_RF_RF_0_nohp,reg,0,109,330,4,RF,RF,0,nohp,0.2613389492034912,True,0.14526498290164958,0.8445876720811261
reg_0_109_330_5_Baseline_Intercept_0_nohp,reg,0,109,330,5,Baseline,Intercept,0,nohp,0.0005176067352294922,True,-0.11341976081418825,0.0
reg_0_109_330_5_GLM_Ridge_0_nohp,reg,0,109,330,5,GLM,Ridge,0,nohp,0.0023338794708251953,True,-0.6457969184181971,0.8581426342117601
reg_0_109_330_5_GLM_Lasso_0_nohp,reg,0,109,330,5,GLM,Lasso,0,nohp,3.41839599609375,True,-0.06692193006429137,0.34399628513917113
reg_0_109_330_5_GLM_Enet_0_nohp,reg,0,109,330,5,GLM,Enet,0,nohp,2.4268765449523926,True,-0.05520209196871373,0.3846197309932857
reg_0_109_330_5_TREE_CART_0_nohp,reg,0,109,330,5,TREE,CART,0,nohp,0.0041735172271728516,True,-1.11749278360148,0.9640708223030522
reg_0_109_330_5_RF_XRF_0_nohp,reg,0,109,330,5,RF,XRF,0,nohp,0.2965409755706787,True,-1.0026973768183272,0.9640708223030522
reg_0_109_330_5_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,5,GBDT,xgb_sklearn,0,nohp,0.0879366397857666,True,-0.11949203953787713,0.8826924965605539
